image_path,source,breed_raw,annotation_path,is_corrupt,width,height,mode,aspect_ratio,file_hash,phash,breed_harmonized,resized_path,mean_brightness,mean_r,mean_g,mean_b,filesize_bytes,brightness_outlier,breed_group,label
C:\Users\alyss\data\archive (1)\images\Images\n02096294-Australian_terrier\n02096294_5531.jpg,stanford_dogs,n02096294-Australian_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02096294-Australian_terrier\n02096294_5531,False,500,375,RGB,1.3333333333333333,86754959732dcbfd69a120c408f6e64f,becdd2210dd82f4c,Australian Terrier,./data/_resized_224\7708.jpg,128.28981,158.89888,129.37332,96.59723,40720,False,other,6
C:\Users\alyss\data\archive (1)\images\Images\n02110063-malamute\n02110063_18632.jpg,stanford_dogs,n02110063-malamute,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110063-malamute\n02110063_18632,False,375,500,RGB,0.75,7aecc796ba28e0e1815e49218994d0ce,f2bb1940464e4d3f,Malamute,./data/_resized_224\16707.jpg,139.53906,145.71169,148.67929,124.2262,46204,False,other,70
C:\Users\alyss\data\archive (1)\images\Images\n02111277-Newfoundland\n02111277_2396.jpg,stanford_dogs,n02111277-Newfoundland,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02111277-Newfoundland\n02111277_2396,False,500,335,RGB,1.492537313432836,324f181a8d57098d8756e615178aff70,bcf0c38fd4ca2558,Newfoundland,./data/_resized_224\17790.jpg,129.18124,128.61612,128.11337,130.81425,31354,False,other,75
C:\Users\alyss\data\archive (1)\images\Images\n02088466-bloodhound\n02088466_9691.jpg,stanford_dogs,n02088466-bloodhound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02088466-bloodhound\n02088466_9691,False,500,375,RGB,1.3333333333333333,8212e6f8322e4e7b9a1073711a4358c4,fc8ea1309733cd49,Bloodhound,./data/_resized_224\2465.jpg,119.5245,154.71176,116.40367,87.45806,49582,False,other,14
C:\Users\alyss\data\archive (1)\images\Images\n02106550-Rottweiler\n02106550_4191.jpg,stanford_dogs,n02106550-Rottweiler,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02106550-Rottweiler\n02106550_4191,False,500,370,RGB,1.351351351351351,80419e999d455f29123bc6f07de4ea81,e7f159664d8c1689,Rottweiler,./data/_resized_224\14214.jpg,117.36683,114.00002,120.18203,117.91846,40412,False,other,88
C:\Users\alyss\data\archive (1)\images\Images\n02085782-Japanese_spaniel\n02085782_1460.jpg,stanford_dogs,n02085782-Japanese_spaniel,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085782-Japanese_spaniel\n02085782_1460,False,358,370,RGB,0.9675675675675676,cd314ba4a11899ab0a10f60278db8fb5,990f66a5b11b91f1,Japanese Spaniel,./data/_resized_224\171.jpg,106.97173,107.21628,105.536156,108.16278,23208,False,other,60
C:\Users\alyss\data\archive (1)\images\Images\n02086240-Shih-Tzu\n02086240_4570.jpg,stanford_dogs,n02086240-Shih-Tzu,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02086240-Shih-Tzu\n02086240_4570,False,500,375,RGB,1.3333333333333333,21409b289bfdf7202433ba652508e72e,e2b15c0b6dd11739,Shih-Tzu,./data/_resized_224\845.jpg,145.75772,147.25485,143.4695,146.54878,33316,False,other,98
C:\Users\alyss\data\archive (1)\images\Images\n02096051-Airedale\n02096051_4531.jpg,stanford_dogs,n02096051-Airedale,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02096051-Airedale\n02096051_4531,False,500,375,RGB,1.3333333333333333,854748a9cb9f2fbcca597ee9297b4a9e,b78af8c30c5462af,Airedale,./data/_resized_224\7287.jpg,135.94806,150.66003,137.33078,119.85342,42832,False,other,3
C:\Users\alyss\data\archive (1)\images\Images\n02110627-affenpinscher\n02110627_4130.jpg,stanford_dogs,n02110627-affenpinscher,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110627-affenpinscher\n02110627_4130,False,317,288,RGB,1.1006944444444444,d1a6fa467ef5559bb7570f97205f1e69,ebc2c1a9b2b0b437,Affenpinscher,./data/_resized_224\17064.jpg,128.36961,115.974174,126.21219,142.92244,16921,False,other,0
C:\Users\alyss\data\archive (1)\images\Images\n02096051-Airedale\n02096051_3287.jpg,stanford_dogs,n02096051-Airedale,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02096051-Airedale\n02096051_3287,False,500,374,RGB,1.3368983957219251,d7e5f40f94a0f4cdd7cb067e84f452ca,e58b187ec181fc36,Airedale,./data/_resized_224\7260.jpg,91.49177,92.372986,99.78904,82.313255,59362,False,other,3
C:\Users\alyss\data\archive (1)\images\Images\n02088466-bloodhound\n02088466_8982.jpg,stanford_dogs,n02088466-bloodhound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02088466-bloodhound\n02088466_8982,False,340,466,RGB,0.7296137339055794,d3ce9b4ba25ddf41a3d1e567fb114952,b8d4c3b9d56f8824,Bloodhound,./data/_resized_224\2440.jpg,83.022896,98.0001,79.55873,71.50987,31094,False,other,14
C:\Users\alyss\data\archive (1)\images\Images\n02108915-French_bulldog\n02108915_553.jpg,stanford_dogs,n02108915-French_bulldog,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02108915-French_bulldog\n02108915_553,False,240,320,RGB,0.75,79fa2d75e8413c1719692b02b0080c8a,a303352f5694ebd1,French Bulldog,./data/_resized_224\16077.jpg,101.20575,99.50892,101.10936,102.99897,38659,False,other,45
C:\Users\alyss\data\archive (1)\images\Images\n02110627-affenpinscher\n02110627_12676.jpg,stanford_dogs,n02110627-affenpinscher,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110627-affenpinscher\n02110627_12676,False,500,438,RGB,1.1415525114155252,f2a8ad5beb652eb61ed4c2ab956f53a2,ec9894a63b78a9c9,Affenpinscher,./data/_resized_224\17009.jpg,128.88867,131.86305,128.79263,126.01032,29356,False,other,0
C:\Users\alyss\data\archive (1)\images\Images\n02097658-silky_terrier\n02097658_2143.jpg,stanford_dogs,n02097658-silky_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02097658-silky_terrier\n02097658_2143,False,500,375,RGB,1.3333333333333333,159d98f52ab3089751dce8454460ec21,e4d5db1a6e23324c,Silky Terrier,./data/_resized_224\9039.jpg,157.80748,159.14417,158.23343,156.04486,22098,False,other,100
C:\Users\alyss\data\archive (1)\images\Images\n02093647-Bedlington_terrier\n02093647_2376.jpg,stanford_dogs,n02093647-Bedlington_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02093647-Bedlington_terrier\n02093647_2376,False,500,375,RGB,1.3333333333333333,b3ae28ecc197c786a9c16b8d4c6d8494,a1a0be7f036f9093,Bedlington Terrier,./data/_resized_224\5514.jpg,136.98634,144.20049,134.87833,131.88019,53030,False,other,10
C:\Users\alyss\data\archive (1)\images\Images\n02098105-soft-coated_wheaten_terrier\n02098105_3348.jpg,stanford_dogs,n02098105-soft-coated_wheaten_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02098105-soft-coated_wheaten_terrier\n02098105_3348,False,500,330,RGB,1.5151515151515151,aecd14d80cdc7bcced433f258db16335,b4344eac99257637,Soft-Coated Wheaten Terrier,./data/_resized_224\9258.jpg,193.45908,191.99211,194.71358,193.6715,34487,True,other,101
C:\Users\alyss\data\archive (1)\images\Images\n02102040-English_springer\n02102040_3586.jpg,stanford_dogs,n02102040-English_springer,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02102040-English_springer\n02102040_3586,False,500,333,RGB,1.5015015015015014,dd12a7650b6ea6b234a42e13dd39bc7c,9bf4448bfe94484d,English Springer,./data/_resized_224\11595.jpg,90.04741,114.93633,91.59692,63.608955,23561,False,other,41
C:\Users\alyss\data\archive (1)\images\Images\n02091467-Norwegian_elkhound\n02091467_2503.jpg,stanford_dogs,n02091467-Norwegian_elkhound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02091467-Norwegian_elkhound\n02091467_2503,False,500,375,RGB,1.3333333333333333,36351b25086212d5e36d53eb3f4b4fc9,941cb9b9ce4f4658,Norwegian Elkhound,./data/_resized_224\4216.jpg,141.32697,147.32281,140.5464,136.1117,48145,False,other,77
C:\Users\alyss\data\archive (1)\images\Images\n02085782-Japanese_spaniel\n02085782_1143.jpg,stanford_dogs,n02085782-Japanese_spaniel,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02085782-Japanese_spaniel\n02085782_1143,False,220,214,RGB,1.02803738317757,fef8ab7e3d92658a837d07b10a486741,8da6363dd5516a4a,Japanese Spaniel,./data/_resized_224\157.jpg,78.86338,84.91461,78.15142,73.52411,9991,False,other,60
C:\Users\alyss\data\archive (1)\images\Images\n02110627-affenpinscher\n02110627_10680.jpg,stanford_dogs,n02110627-affenpinscher,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110627-affenpinscher\n02110627_10680,False,300,225,RGB,1.3333333333333333,1347234a788c512e998490a8d38ffc5e,fa80f08982fe8fd8,Affenpinscher,./data/_resized_224\16968.jpg,62.794662,65.27915,58.1952,64.90963,14867,False,other,0
C:\Users\alyss\data\archive (1)\images\Images\n02095570-Lakeland_terrier\n02095570_6085.jpg,stanford_dogs,n02095570-Lakeland_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02095570-Lakeland_terrier\n02095570_6085,False,280,240,RGB,1.1666666666666667,d89c6b359cd921d58f33ea496693df13,e2fb7df09c8d2280,Lakeland Terrier,./data/_resized_224\6968.jpg,103.0626,125.00259,104.1446,80.04061,16149,False,other,67
C:\Users\alyss\data\archive (1)\images\Images\n02108422-bull_mastiff\n02108422_1836.jpg,stanford_dogs,n02108422-bull_mastiff,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02108422-bull_mastiff\n02108422_1836,False,500,375,RGB,1.3333333333333333,8200f18d815ae1a62465e5c96451cdef,f14b0edee8f0c885,Bull Mastiff,./data/_resized_224\15671.jpg,130.36902,137.00764,130.23328,123.866135,24096,False,other,25
C:\Users\alyss\data\archive (1)\images\Images\n02086240-Shih-Tzu\n02086240_8812.jpg,stanford_dogs,n02086240-Shih-Tzu,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02086240-Shih-Tzu\n02086240_8812,False,500,332,RGB,1.5060240963855422,a95cada805112af4ca70f1504737e6f0,fc29c2336fc20ccd,Shih-Tzu,./data/_resized_224\940.jpg,123.15166,157.73253,123.034225,88.6882,29090,False,other,98
C:\Users\alyss\data\archive (1)\images\Images\n02113186-Cardigan\n02113186_1016.jpg,stanford_dogs,n02113186-Cardigan,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02113186-Cardigan\n02113186_1016,False,1082,742,RGB,1.45822102425876,c117cbb3ce392d1279c3ab71b5fb41ce,e4139aece6fa1903,Corgi,./data/_resized_224\19258.jpg,155.38362,171.23792,156.19788,138.71509,198445,False,other,33
C:\Users\alyss\data\archive (1)\images\Images\n02102973-Irish_water_spaniel\n02102973_623.jpg,stanford_dogs,n02102973-Irish_water_spaniel,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02102973-Irish_water_spaniel\n02102973_623,False,500,375,RGB,1.3333333333333333,f1267af84268207773a06a0c632f63a7,e8a7a5a69696d614,Irish Water Spaniel,./data/_resized_224\12280.jpg,124.554214,135.71165,120.397575,117.553406,53875,False,other,57
C:\Users\alyss\data\archive (1)\images\Images\n02109525-Saint_Bernard\n02109525_2810.jpg,stanford_dogs,n02109525-Saint_Bernard,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02109525-Saint_Bernard\n02109525_2810,False,500,375,RGB,1.3333333333333333,cb3c2c4a9cad0bb4226d4f1d5428410c,8ce461c3d93a37c6,Saint Bernard,./data/_resized_224\16380.jpg,101.484474,108.52365,120.3485,75.58125,60967,False,other,89
C:\Users\alyss\data\archive (1)\images\Images\n02091635-otterhound\n02091635_1840.jpg,stanford_dogs,n02091635-otterhound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02091635-otterhound\n02091635_1840,False,375,261,RGB,1.4367816091954022,7911485e4a8bbd07385488e8a7532f6c,ec69f46cb33018dc,Otterhound,./data/_resized_224\4417.jpg,134.33414,147.86432,134.01566,121.12242,46913,False,other,80
C:\Users\alyss\data\archive (1)\images\Images\n02091635-otterhound\n02091635_2766.jpg,stanford_dogs,n02091635-otterhound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02091635-otterhound\n02091635_2766,False,280,219,RGB,1.278538812785388,018433ab8d70419bfb234f51b5c5809c,b11d1c6a6262deb5,Otterhound,./data/_resized_224\4451.jpg,91.65812,94.603065,99.91632,80.45499,24085,False,other,80
C:\Users\alyss\data\archive (1)\images\Images\n02091244-Ibizan_hound\n02091244_3369.jpg,stanford_dogs,n02091244-Ibizan_hound,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02091244-Ibizan_hound\n02091244_3369,False,500,375,RGB,1.3333333333333333,0f9f6389e8c62532b806b949aef9e515,cc3a3386f35d0cb1,Ibizan Hound,./data/_resized_224\4085.jpg,81.07282,84.76319,107.726776,50.72851,49680,False,other,54
C:\Users\alyss\data\archive (1)\images\Images\n02100583-vizsla\n02100583_14263.jpg,stanford_dogs,n02100583-vizsla,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02100583-vizsla\n02100583_14263,False,500,334,RGB,1.497005988023952,4a5a9c718dd7b48bb5367634d5b0ef7b,e7b9b18887067b68,Vizsla,./data/_resized_224\10679.jpg,88.52913,103.46582,84.02705,78.09452,24661,False,other,107
C:\Users\alyss\data\archive (1)\images\Images\n02110806-basenji\n02110806_6282.jpg,stanford_dogs,n02110806-basenji,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110806-basenji\n02110806_6282,False,500,332,RGB,1.5060240963855422,5f934722ff3dbbe004109684ced0a829,e699cd521b4d262d,Basenji,./data/_resized_224\17301.jpg,165.43721,154.06906,209.86151,132.38106,25482,False,other,7
C:\Users\alyss\data\archive (1)\images\Images\n02105855-Shetland_sheepdog\n02105855_7410.jpg,stanford_dogs,n02105855-Shetland_sheepdog,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02105855-Shetland_sheepdog\n02105855_7410,False,375,500,RGB,0.75,c9108599ee5f6592dfd9d8d471c6cf43,b6a5d35b817a8532,Shetland Sheepdog,./data/_resized_224\13657.jpg,108.059746,111.94496,108.84532,103.38897,127269,False,other,97
C:\Users\alyss\data\archive (1)\images\Images\n02105162-malinois\n02105162_4426.jpg,stanford_dogs,n02105162-malinois,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02105162-malinois\n02105162_4426,False,500,478,RGB,1.0460251046025104,eaf8d0a702df902531934515304c4778,b9a4939ec2db81b1,Malinois,./data/_resized_224\12784.jpg,133.39084,137.50914,135.52643,127.13694,59970,False,other,71
C:\Users\alyss\data\archive (1)\images\Images\n02106166-Border_collie\n02106166_654.jpg,stanford_dogs,n02106166-Border_collie,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02106166-Border_collie\n02106166_654,False,500,375,RGB,1.3333333333333333,c9e7d34c967b7d8ccd6cd1b1b836a00a,e60092cdea0b7cf3,Border Collie,./data/_resized_224\13943.jpg,70.336494,82.073944,72.13402,56.80154,35951,False,other,16
C:\Users\alyss\data\archive (1)\images\Images\n02087046-toy_terrier\n02087046_1577.jpg,stanford_dogs,n02087046-toy_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02087046-toy_terrier\n02087046_1577,False,294,357,RGB,0.8235294117647058,1ecaaaa39b3264e7e46896e1535e4a9e,c1e63939cace8e32,Toy Terrier,./data/_resized_224\1339.jpg,130.31238,135.9486,139.67412,115.31444,25224,False,other,106
C:\Users\alyss\data\archive (1)\images\Images\n02099849-Chesapeake_Bay_retriever\n02099849_3563.jpg,stanford_dogs,n02099849-Chesapeake_Bay_retriever,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02099849-Chesapeake_Bay_retriever\n02099849_3563,False,500,375,RGB,1.3333333333333333,9b8bef54962f74f62d0f129c299ecd5a,cf36919aa6ad8c1c,Chesapeake Bay Retriever,./data/_resized_224\10384.jpg,115.368416,117.33431,116.87453,111.89641,48459,False,other,27
C:\Users\alyss\data\archive (1)\images\Images\n02086910-papillon\n02086910_9084.jpg,stanford_dogs,n02086910-papillon,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02086910-papillon\n02086910_9084,False,500,331,RGB,1.5105740181268883,ca130b04e63dba8c39dda32f7ed071bb,97724b19f866253c,Papillon,./data/_resized_224\1320.jpg,149.18298,157.68869,145.28506,144.5752,23141,False,other,81
C:\Users\alyss\data\archive (1)\images\Images\n02112350-keeshond\n02112350_8270.jpg,stanford_dogs,n02112350-keeshond,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02112350-keeshond\n02112350_8270,False,500,333,RGB,1.5015015015015014,89d360abdb0c7b64dda316a76947bc9a,b6304d0b7d4b554e,Keeshond,./data/_resized_224\18875.jpg,118.84319,134.25465,129.6141,92.66082,25395,False,other,61
C:\Users\alyss\data\archive (1)\images\Images\n02113799-standard_poodle\n02113799_447.jpg,stanford_dogs,n02113799-standard_poodle,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02113799-standard_poodle\n02113799_447,False,500,375,RGB,1.3333333333333333,f01b9f55ccb5d2032351bbd02745c2f5,a5e0d21ee7661bc8,Poodle,./data/_resized_224\19805.jpg,144.07195,151.46703,150.88568,129.86313,69337,False,other,84
C:\Users\alyss\data\archive (1)\images\Images\n02113978-Mexican_hairless\n02113978_2121.jpg,stanford_dogs,n02113978-Mexican_hairless,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02113978-Mexican_hairless\n02113978_2121,False,370,421,RGB,0.8788598574821853,956685b87aa3fb8a5d86c49ec158566e,fc8fcf4e21c5c091,Mexican Hairless,./data/_resized_224\19922.jpg,122.013855,119.34244,151.64777,95.05138,51661,False,other,73
C:\Users\alyss\data\archive (1)\images\Images\n02113712-miniature_poodle\n02113712_2585.jpg,stanford_dogs,n02113712-miniature_poodle,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02113712-miniature_poodle\n02113712_2585,False,234,500,RGB,0.468,11a22bde184417f83998fff6c8a3e955,ee78d400cf5b15c6,Poodle,./data/_resized_224\19611.jpg,64.72968,80.05811,66.10624,48.024708,20261,False,other,84
C:\Users\alyss\data\archive (1)\images\Images\n02111277-Newfoundland\n02111277_399.jpg,stanford_dogs,n02111277-Newfoundland,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02111277-Newfoundland\n02111277_399,False,500,375,RGB,1.3333333333333333,933efa7db98b40286cee6e7210c21207,ed1f97f89e020c61,Newfoundland,./data/_resized_224\17840.jpg,104.51062,129.54025,96.25312,87.7385,48545,False,other,75
C:\Users\alyss\data\archive (1)\images\Images\n02109961-Eskimo_dog\n02109961_4428.jpg,stanford_dogs,n02109961-Eskimo_dog,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02109961-Eskimo_dog\n02109961_4428,False,375,500,RGB,0.75,5d329b1f2745b92fe9695cd0a7a19c90,9ba735718b8e8691,Eskimo Dog,./data/_resized_224\16540.jpg,101.026886,104.26494,108.72826,90.087456,45041,False,other,43
C:\Users\alyss\data\archive (1)\images\Images\n02093859-Kerry_blue_terrier\n02093859_3258.jpg,stanford_dogs,n02093859-Kerry_blue_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02093859-Kerry_blue_terrier\n02093859_3258,False,500,286,RGB,1.7482517482517483,816cf79a523c8a485062d7fedac7e3c6,b499cfc7308ec730,Kerry Blue Terrier,./data/_resized_224\5905.jpg,126.168846,151.38338,138.79506,88.328094,18598,False,other,63
C:\Users\alyss\data\archive (1)\images\Images\n02110806-basenji\n02110806_4395.jpg,stanford_dogs,n02110806-basenji,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110806-basenji\n02110806_4395,False,500,351,RGB,1.4245014245014245,b2e07935a0a8451e334dbed3da518437,d02b275969e64bc9,Basenji,./data/_resized_224\17250.jpg,90.242355,101.400185,105.59227,63.734592,48823,False,other,7
C:\Users\alyss\data\archive (1)\images\Images\n02105855-Shetland_sheepdog\n02105855_11445.jpg,stanford_dogs,n02105855-Shetland_sheepdog,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02105855-Shetland_sheepdog\n02105855_11445,False,500,288,RGB,1.7361111111111112,6b388125dccb33a7d8bfa9248e8918e9,d3662c99e66f8324,Shetland Sheepdog,./data/_resized_224\13534.jpg,76.705765,55.691463,77.65556,96.77028,75083,False,other,97
C:\Users\alyss\data\archive (1)\images\Images\n02097209-standard_schnauzer\n02097209_1500.jpg,stanford_dogs,n02097209-standard_schnauzer,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02097209-standard_schnauzer\n02097209_1500,False,336,500,RGB,0.672,c5862b4a736f384ea17a5c8369322025,e88ddc8a81d4db3a,Schnauzer,./data/_resized_224\8484.jpg,120.51949,128.13281,121.00007,112.42557,18060,False,other,93
C:\Users\alyss\data\archive (1)\images\Images\n02101556-clumber\n02101556_4580.jpg,stanford_dogs,n02101556-clumber,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02101556-clumber\n02101556_4580,False,500,477,RGB,1.0482180293501049,f774eae8e632a08832ecae5bc924e3ac,c16c1f313ede3cc0,Clumber,./data/_resized_224\11454.jpg,108.637596,108.31297,111.19732,106.40248,43028,False,other,30
C:\Users\alyss\data\archive (1)\images\Images\n02094114-Norfolk_terrier\n02094114_566.jpg,stanford_dogs,n02094114-Norfolk_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02094114-Norfolk_terrier\n02094114_566,False,375,500,RGB,0.75,767d33f6dd9b495842dea7c97c3f209f,98c8b28276edf14d,Norfolk Terrier,./data/_resized_224\6282.jpg,117.57687,126.784,115.278915,110.66773,29269,False,other,76
C:\Users\alyss\data\archive (1)\images\Images\n02110063-malamute\n02110063_6276.jpg,stanford_dogs,n02110063-malamute,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110063-malamute\n02110063_6276,False,300,362,RGB,0.8287292817679558,49742287bcff0b2ed5fd00fe6db5bc82,c47233372f03c6ec,Malamute,./data/_resized_224\16737.jpg,139.70572,135.91754,139.27238,143.92723,23199,False,other,70
C:\Users\alyss\data\archive (1)\images\Images\n02110627-affenpinscher\n02110627_6796.jpg,stanford_dogs,n02110627-affenpinscher,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02110627-affenpinscher\n02110627_6796,False,500,375,RGB,1.3333333333333333,667e56e76fac5f936fdd9b10b1ece494,96e6e81807c7e5ac,Affenpinscher,./data/_resized_224\17082.jpg,115.16195,118.123436,113.05013,114.31229,36334,False,other,0
C:\Users\alyss\data\archive (1)\images\Images\n02094433-Yorkshire_terrier\n02094433_2782.jpg,stanford_dogs,n02094433-Yorkshire_terrier,C:\Users\alyss\data\archive (1)\annotations\Annotation\n02094433-Yorkshire_terrier\n02094433_2782,False,400,300,RGB,1.3333333333333333,e0e7ea7b6b48cce57cb27e5d6dbd6a2c,dd0926a686f2f1d2,Yorkshire Terrier,./data/_resized_224\6547.jpg,100.4051,92.51281,104.37657,104.3259,20194,False,other,114
